movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
The Invitation,2015,"Drama, Mystery, Thriller            ",6.6,"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.",100313,Karyn Kusama,Logan Marshall,1,1,Moderate,Very Popular
Eli,2019,"Drama, Horror, Mystery            ",5.7,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,31499,Ciarán Foy,"Charlie Shotwell, Kelly Reilly, Max Martini, Lili Taylor",4,1,Moderate,Very Popular
Flashdance,1983,"Drama, Music, Romance            ",6.2,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,49826,Adrian Lyne,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson",4,1,Moderate,Very Popular
Hummingbird,2013,"Action, Crime, Drama            ",6.2,A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.,68546,Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong",4,1,Moderate,Very Popular
Paddington 2,2017,"Animation, Adventure, Comedy            ",7.8,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",66462,Paul King,"Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins",4,1,High,Very Popular
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy            ",7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",131204,Hayao Miyazaki,"Cate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi",4,1,High,Very Popular
Mechanic: Resurrection,2016,"Action, Adventure, Crime            ",5.7,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,79668,Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh",4,1,Moderate,Very Popular
Ma Rainey's Black Bottom,2020,"Drama, Music            ",7.0,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,44829,George C,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo",4,1,High,Very Popular
The Prom,2020,"Comedy, Drama, Musical            ",5.9,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,24451,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington",4,1,Moderate,Very Popular
In the Tall Grass,2019,"Horror, Mystery, Sci-Fi            ",5.4,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.",50124,Vincenzo Natali,"Laysla De Oliveira, Avery Whitted, Patrick Wilson, Will Buie Jr",4,1,Moderate,Very Popular
Bronx,2020,"Action, Crime, Drama            ",6.1,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",7517,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle",4,1,Moderate,Popular
Kill Me Three Times,2014,"Action, Comedy, Crime            ",5.9,"Professional hit-man Charlie Wolfe finds himself in three tales of murder, blackmail and revenge after a botched contract assignment.",22359,Kriv Stenders,"Simon Pegg, Teresa Palmer, Alice Braga, Luke Hemsworth",4,1,Moderate,Very Popular
Killers,2010,"Action, Comedy, Romance            ",5.5,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",89080,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O",4,1,Moderate,Very Popular
Ferry,2021,"Action, Crime, Drama            ",7.0,"A ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets the lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour.",8077,Cecilia Verheyden,"Frank Lammers, Elise Schaap, Huub Stapel, Raymond Thiry",4,1,High,Popular
Terrifier,2016,"Horror, Thriller            ",5.7,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",15459,Damien Leone,"Jenna Kanell, Samantha Scaffidi, David Howard Thornton, Catherine Corcoran",4,1,Moderate,Very Popular
Majo no takkyûbin,1989,"Animation, Adventure, Drama            ",7.9,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",130851,Hayao Miyazaki,"Kirsten Dunst, Minami Takayama, Rei Sakuma, Kappei Yamaguchi",4,1,High,Very Popular
Operation Brothers,2019,"Drama, History, Thriller            ",6.6,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,25897,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni",4,1,Moderate,Very Popular
The Fundamentals of Caring,2016,"Comedy, Drama            ",7.3,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,65440,Rob Burnett,"Craig Roberts, Paul Rudd, Selena Gomez, Alex Huff",4,1,High,Very Popular
Sharknado,2013,"Action, Adventure, Comedy            ",3.3,"When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",47705,Anthony C,"Ian Ziering, Tara Reid, John Heard, Cassandra Scerbo",4,1,Low,Very Popular
De slag om de Schelde,2020,"Drama, War            ",7.5,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Scheldt. Their choices differ, but their goal is the same: freedom.",1937,Matthijs van Heijningen Jr,"Gijs Blom, Jamie Flatters, Susan Radder, Jan Bijvoet",4,1,High,Popular
Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy            ",6.2,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,98302,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",4,1,Moderate,Very Popular
Macbeth,2015,"Drama, History, War            ",6.6,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",54067,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan",4,1,Moderate,Very Popular
The Infiltrator,2016,"Biography, Crime, Drama            ",7.0,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,70858,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",4,1,High,Very Popular
The Do-Over,2016,"Action, Adventure, Comedy            ",5.7,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",42672,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",4,1,Moderate,Very Popular
Doom,2005,"Action, Horror, Sci-Fi            ",5.2,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,110028,Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei",4,1,Moderate,Very Popular
How It Ends,2018,"Action, Adventure, Drama            ",5.0,"In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.",46842,David M,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",4,1,Moderate,Very Popular
Deadly Illusions,2021,"Drama, Thriller            ",3.7,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",10519,Anna Elizabeth James,"Dermot Mulroney, Kristin Davis, Shanola Hampton, Greer Grammer",4,1,Low,Very Popular
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy            ",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,157520,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",4,1,High,Very Popular
The Last Stand,2013,"Action, Thriller            ",6.3,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.",135448,Jee,"Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville, Rodrigo Santoro",4,1,Moderate,Very Popular
De rouille et d'os,2012,"Drama, Romance            ",7.5,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.",65455,Jacques Audiard,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette",4,1,High,Very Popular
Young Guns II,1990,"Action, Western            ",6.5,"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.",33616,Geoff Murphy,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater",4,1,Moderate,Very Popular
Pan,2015,"Adventure, Comedy, Family            ",5.7,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.",61772,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",4,1,Moderate,Very Popular
Voces,2020,"Drama, Horror, Mystery            ",6.1,"Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.",11470,Ángel Gómez Hernández,"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra",4,1,Moderate,Very Popular
The Outsider,2018,"Action, Crime, Drama            ",6.3,An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.,22393,Martin Zandvliet,"Jared Leto, Tadanobu Asano, Kippei Shîna, Shioli Kutsuna",4,1,Moderate,Very Popular
The Iceman,2012,"Biography, Crime, Drama            ",6.8,"The story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters had any clue about his real profession.",72326,Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",4,1,Moderate,Very Popular
Hannibal Rising,2007,"Action, Adventure, Crime            ",6.2,"After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.",106197,Peter Webber,"Gaspard Ulliel, Rhys Ifans, Gong Li, Aaran Thomas",4,1,Moderate,Very Popular
The Laundromat,2019,"Comedy, Crime, Drama            ",6.3,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",46757,Steven Soderbergh,"Gary Oldman, Antonio Banderas, AJ Meijer, Arsenio Castellanos",4,1,Moderate,Very Popular
The Package,2018,"Comedy, Thriller            ",5.5,"When a group of teenage friends go on a spring break camping trip, an unfortunate accident sets off a race against time to save their friend's most prized possession.",15474,Jake Szymanski,"Daniel Doheny, Geraldine Viswanathan, Sadie Calvano, Luke Spencer Roberts",4,1,Moderate,Very Popular
Kodachrome,2017,Drama            ,6.8,"Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",14021,Mark Raso,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood",4,1,Moderate,Very Popular
Mute,2018,"Mystery, Sci-Fi, Thriller            ",5.5,A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.,32496,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux, Levi Eisenblätter",4,1,Moderate,Very Popular
Mowgli,2018,"Adventure, Drama, Fantasy            ",6.5,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",58420,Andy Serkis,"Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris",4,1,Moderate,Very Popular
The Day the Earth Stood Still,2008,"Drama, Sci-Fi, Thriller            ",5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,165900,Scott Derrickson,"Keanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith",4,1,Moderate,Very Popular
Anon,2018,"Crime, Sci-Fi, Thriller            ",6.1,"In a world without anonymity or crime, a detective meets a woman who threatens their security.",40017,Andrew Niccol,"Clive Owen, Afiya Bennett, Morgan Allen, Jeffrey Men",4,1,Moderate,Very Popular
Always Be My Maybe,2019,"Comedy, Romance            ",6.8,"Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?",49867,Nahnatchka Khan,"Ali Wong, Randall Park, James Saito, Michelle Buteau",4,1,Moderate,Very Popular
The Adventures of Sharkboy and Lavagirl 3-D,2005,"Action, Adventure, Comedy            ",3.7,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,34853,Robert Rodriguez,"Cayden Boyd, George Lopez, Kristin Davis, David Arquette",4,1,Low,Very Popular
Taken 2,2012,"Action, Crime, Thriller            ",6.3,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",295140,Olivier Megaton,"Liam Neeson, Famke Janssen, Maggie Grace, Leland Orser",4,1,Moderate,Very Popular
The Last Thing He Wanted,2020,"Crime, Drama, Thriller            ",4.3,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.,13680,Dee Rees,"Anne Hathaway, Ben Affleck, Rosie Perez, Willem Dafoe",4,1,Low,Very Popular
The Ugly Truth,2009,"Comedy, Romance            ",6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,209052,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",4,1,Moderate,Very Popular
Aftermath,2021,"Drama, Horror, Mystery            ",6.5,"A young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. In a final attempt to start fresh as a couple they take the deal.",20,Peter Winther,"Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron",4,1,Moderate,Unknown
The Professor,2018,"Comedy, Drama            ",6.7,A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.,27464,Wayne Roberts,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston",4,1,Moderate,Very Popular
Dumplin',2018,"Comedy, Drama            ",6.6,"Willowdean ('Dumplin'), the plus-size teenage daughter of a former beauty queen, signs up for her mom's Miss Teen Bluebonnet pageant as a protest that escalates when other contestants follow her footsteps, revolutionizing the pageant and their small Texas town.",30553,Anne Fletcher,"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio",4,1,Moderate,Very Popular
Sweet Virginia,2017,"Action, Drama, Thriller            ",6.2,A former rodeo champ befriends a young man with a propensity for violence.,9324,Jamie M,"Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt",4,1,Moderate,Popular
To the Bone,2017,Drama            ,6.8,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",43863,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L",3,1,Moderate,Very Popular
The Perfection,2018,"Drama, Horror, Music            ",6.2,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",38531,Richard Shepard,"Marie Maskell, Allison Williams, Christina Jastrzembska, Glynis Davies",4,1,Moderate,Very Popular
The Sleepover,2020,"Action, Adventure, Comedy            ",5.6,"When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.",9040,Trish Sie,"Sadie Stanley, Maxwell Simkins, Cree Cicchino, Lucas Jaye",4,1,Moderate,Popular
Deliver Us from Evil,2014,"Action, Biography, Crime            ",6.2,"New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.",73461,Scott Derrickson,"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy",4,1,Moderate,Very Popular
Set It Up,2018,"Comedy, Romance            ",6.5,Two corporate executive assistants hatch a plan to match-make their two bosses.,45957,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",4,1,Moderate,Very Popular
Concrete Cowboy,2020,Drama            ,6.3,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",7008,Ricky Staub,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint, Jharrel Jerome",4,1,Moderate,Popular
The Human Centipede II (Full Sequence),2011,Horror            ,3.8,"Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.",36912,Tom Six,Laurence R,1,1,Low,Very Popular
Skater Girl,2021,"Drama, Family, Sport            ",6.7,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",2947,Manjari Makijany,"Amy Maghera, Rachel Saanchita Gupta, Waheeda Rehman, Jonathan Readwin",4,1,Moderate,Popular
Calibre,2018,"Drama, Thriller            ",6.8,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.,24891,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie",4,1,Moderate,Very Popular
Sightless,2020,"Drama, Thriller            ",5.5,"After an attack renders her blind, Ellen Ashland withdraws from the world to recover. But soon she plunges into paranoia, unable to convince anyone that her assailant has returned to terrorize her by hiding in plain sight.",6552,Cooper Karl,"Madelaine Petsch, Alexander Koch, Deniz Akdeniz, Matthew Yang King",4,1,Moderate,Popular
Mudbound,2017,"Drama, War            ",7.4,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.",45231,Dee Rees,"Jason Mitchell, Carey Mulligan, Jason Clarke, Mary J",4,1,High,Very Popular
Close,2019,"Action, Drama, Thriller            ",5.7,A female bodyguard is hired to protect an heiress on the run from assassins.,22708,Vicky Jewson,"Noomi Rapace, Olivia Jewson, Abdellatif Chaouqi, Sophie Nélisse",4,1,Moderate,Very Popular
Dead Man Down,2013,"Action, Crime, Drama            ",6.5,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.",65672,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard",4,1,Moderate,Very Popular
A Week Away,2021,"Drama, Family, Musical            ",5.8,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.",3565,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling",4,1,Moderate,Popular
Step Up,2006,"Crime, Drama, Music            ",6.5,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",113232,Anne Fletcher,"Channing Tatum, Jenna Dewan, Damaine Radcliff, De",4,1,Moderate,Very Popular
The Social Dilemma,2020,"Documentary, Drama            ",7.6,"Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",72604,Jeff Orlowski,"Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano",4,1,High,Very Popular
The Promise,2016,"Action, Adventure, Drama            ",6.0,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",174181,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho",4,1,Moderate,Very Popular
Mignonnes,2020,Drama            ,3.2,"Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.",28451,Maïmouna Doucouré,"Fathia Youssouf, Médina El Aidi",2,1,Low,Very Popular
The Night Comes for Us,2018,"Action, Thriller            ",7.0,"Ito, a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.",23261,Timo Tjahjanto,"Iko Uwais, Joe Taslim, Julie Estelle, Hannah Al Rashid",4,1,High,Very Popular
Child 44,2015,"Crime, Drama, History            ",6.5,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,67925,Daniel Espinosa,"Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman",4,1,Moderate,Very Popular
To All the Boys: Always and Forever,2021,"Comedy, Drama, Romance            ",6.3,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans - with and without Peter.,19098,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",4,1,Moderate,Very Popular
Berlin Syndrome,2017,"Drama, Horror, Mystery            ",6.3,"A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.",23476,Cate Shortland,"Teresa Palmer, Max Riemelt, Matthias Habich, Emma Bading",4,1,Moderate,Very Popular
White Girl,2016,"Crime, Drama            ",5.7,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",10127,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",4,1,Moderate,Very Popular
Mercury Rising,1998,"Action, Crime, Drama            ",6.1,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,70935,Harold Becker,"Bruce Willis, Miko Hughes, Alec Baldwin, Chi McBride",4,1,Moderate,Very Popular
"Game Over, Man!",2018,"Action, Comedy            ",5.4,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,27756,Kyle Newacheck,"Adam Devine, Anders Holm, Blake Anderson, Chloe Bridges",4,1,Moderate,Very Popular
Spectral,2016,"Action, Adventure, Sci-Fi            ",6.3,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,55165,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini",4,1,Moderate,Very Popular
The Siege of Jadotville,2016,"Action, Drama, History            ",7.2,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,35164,Richie Smyth,"Richard Lukunku, Danny Sapani, Andrew Stock, Mark Strong",4,1,High,Very Popular
Velvet Buzzsaw,2019,"Horror, Mystery, Thriller            ",5.7,"A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",56534,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge",4,1,Moderate,Very Popular
Secret Obsession,2019,Thriller            ,4.4,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",19545,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott",4,1,Low,Very Popular
Suburbicon,2017,"Comedy, Crime, Drama            ",5.7,"As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.",41867,George Clooney,"Matt Damon, Julianne Moore, Oscar Isaac, Noah Jupe",4,1,Moderate,Very Popular
Bajocero,2021,"Action, Adventure, Crime            ",6.2,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",16022,Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, Luis Callejo, Andrés Gertrúdix",4,1,Moderate,Very Popular
The Titan,2018,"Drama, Mystery, Romance            ",4.8,A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.,29407,Lennart Ruff,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn",4,1,Low,Very Popular
W lesie dzis nie zasnie nikt,2020,"Horror, Thriller            ",4.8,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,8260,Bartosz M,Julia Wieniawa,1,1,Low,Popular
Horse Girl,2020,"Drama, Mystery, Thriller            ",5.9,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",15901,Jeff Baena,"Alison Brie, Molly Shannon, Goldenite, Stella Chestnut",4,1,Moderate,Very Popular
The Two Popes,2019,"Comedy, Drama            ",7.6,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",113825,Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco",4,1,High,Very Popular
A Fall from Grace,2020,"Drama, Fantasy, Thriller            ",5.9,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",13360,Tyler Perry,"Crystal Fox, Phylicia Rashad, Bresha Webb, Mehcad Brooks",4,1,Moderate,Very Popular
The Italian Job,1969,"Action, Comedy, Crime            ",7.3,Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,43775,Peter Collinson,"Michael Caine, Noël Coward, Benny Hill, Raf Vallone",4,1,High,Very Popular
Better Watch Out,2016,"Comedy, Horror, Thriller            ",6.5,"On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.",33703,Chris Peckover,"Olivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic",4,1,Moderate,Very Popular
Safe,2012,"Action, Crime, Thriller            ",6.5,"Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.",106164,Boaz Yakin,"Jason Statham, Catherine Chan, Chris Sarandon, Robert John Burke",4,1,Moderate,Very Popular
Love Wedding Repeat,2020,"Comedy, Romance            ",5.5,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",18758,Dean Craig,"Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson",4,1,Moderate,Very Popular
Killerman,2019,"Action, Crime, Thriller            ",5.4,"Two NYC money launderers make a quick drug deal. Things go wrong, as dirty cops are involved. One of the friends gets amnesia during their escape with the drugs and money.",4495,Malik Bader,"Liam Hemsworth, Emory Cohen, Diane Guerrero, Zlatko Buric",4,1,Moderate,Popular
Blitz,2011,"Action, Crime, Thriller            ",6.2,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,83777,Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton",4,1,Moderate,Very Popular
The Devil's Own,1997,"Action, Crime, Drama            ",6.2,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",62161,Alan J,"Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades",4,1,Moderate,Very Popular
Kaze tachinu,2013,"Animation, Biography, Drama            ",7.8,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",77732,Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura",4,1,High,Very Popular
Monster,2018,"Crime, Drama            ",6.5,"A smart, likeable, 17-year-old film student from Harlem sees his world turned upside down when he's charged with a murder. We follow his dramatic journey through a complex legal battle.",4559,Anthony Mandler,"ASAP Rocky, John David Washington, Kelvin Harrison Jr",3,1,Moderate,Popular
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama            ",8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,155408,Hayao Miyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada",4,1,High,Very Popular
