movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy            ",6.9,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",337900,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",4,1,Moderate,Very Popular
American Psycho,2000,"Comedy, Crime, Drama            ",7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",517014,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",4,1,High,Very Popular
Mayor Grom: Chumnoy Doktor,2021,"Action, Adventure            ",6.3,Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »,8466,Oleg Trofim,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Sergei Goroshko, Aleksey Maklakov",4,1,Moderate,Popular
Bo Burnham: Inside,2021,"Comedy, Drama, Music            ",8.7,"A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.",31108,Bo Burnham,"Bo Burnham, Socko",2,1,High,Very Popular
Kill Bill: Vol. 1,2003,"Action, Crime, Drama            ",8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1034554,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",4,1,High,Very Popular
Bartkowiak,2021,"Action, Crime, Sport            ",5.0,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.",398,Daniel Markowicz,"Józef Pawlowski, Zofia Domalik, Szymon Bobrowski, Bartlomiej Topa",4,1,Moderate,Average
300,2006,"Action, Drama            ",7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,751815,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",4,1,High,Very Popular
It,2017,Horror            ,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",480607,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis",4,1,High,Very Popular
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi            ",7.5,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",363012,Jon Watts,"Tom Holland, Samuel L",2,1,High,Very Popular
Hostage House,2021,Thriller            ,3.7,"When an ambitious realtor and her daughter are held hostage during an open house, they must work together to outsmart their captors.",315,David Benullo,"Jennifer Taylor, Julia Terranova, Emily Sweet, Justin C",4,1,Low,Average
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy            ",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",774632,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis",4,1,High,Very Popular
Clueless,1995,"Comedy, Romance            ",6.8,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",194461,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",4,1,Moderate,Very Popular
Baywatch,2017,"Action, Comedy, Crime            ",5.5,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",170844,Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas",4,1,Moderate,Very Popular
The Devil All the Time,2020,"Crime, Drama, Thriller            ",7.1,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,108684,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke",4,1,High,Very Popular
Fast & Furious 7,2015,"Action, Adventure, Thriller            ",7.1,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,371194,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",4,1,High,Very Popular
Good on Paper,2021,"Comedy, Romance            ",5.6,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.",8099,Kimmy Gatewood,"Iliza Shlesinger, Britney Young, Christopher Nicholas Smith, Adam Lustick",4,1,Moderate,Popular
Haseen Dillruba,2021,"Crime, Drama, Mystery            ",6.9,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",18149,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastav",4,1,Moderate,Very Popular
